idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit,q_hist
35544,-0.79736996,0.79736996,29.0,30.086342,1.0863419,0,0,-0.0,1.1268517
35545,-0.8621821,0.8621821,29.0,30.075941,1.0759411,0,0,-0.0,1.1268517
35546,-1.0102897,1.0102897,29.0,30.381197,1.381197,0,0,-0.0,1.1268517
35547,-1.1396705,1.1396705,28.0,30.10147,2.101471,1,-1,-2.101471,1.1268517
35548,-0.9431395,0.9431395,28.0,29.90047,1.9004707,0,0,-0.0,1.1269087
35549,-1.0955604,1.0955604,29.0,29.509619,0.50961876,0,0,-0.0,1.1269087
35550,-0.6461789,0.6461789,29.0,28.885273,-0.11472702,0,0,0.0,1.1268517
35551,-0.6764156,0.6764156,28.0,28.68298,0.6829796,0,0,-0.0,1.1268517
35552,-0.7905393,0.7905393,27.0,29.39551,2.3955097,0,0,-0.0,1.1268517
35553,-0.8585287,0.8585287,26.0,29.105183,3.1051826,0,0,-0.0,1.1268517
35554,-0.9985814,0.9985814,27.0,28.599325,1.5993252,0,0,-0.0,1.1268222
35555,-1.1307622,1.1307622,28.0,28.74643,0.74642944,1,-1,-0.74642944,1.1268222
35556,-0.9136882,0.9136882,28.0,28.927921,0.9279213,0,0,-0.0,1.1268222
35557,-1.0964816,1.0964816,28.0,27.548147,-0.4518528,0,0,0.0,1.1268222
35558,-0.65210193,0.65210193,29.0,26.962019,-2.037981,0,0,0.0,1.1268222
35559,-0.6798786,0.6798786,28.0,26.532152,-1.4678478,0,0,0.0,1.1268222
35560,-0.7874364,0.7874364,28.0,26.635962,-1.3640385,0,0,0.0,1.1267743
35561,-0.8700852,0.8700852,27.0,26.97476,-0.025239944,0,0,0.0,1.1267517
35562,-0.9996176,0.9996176,27.0,27.666836,0.6668358,0,0,-0.0,1.1267388
35563,-1.1240255,1.1240255,27.0,28.32791,1.3279095,0,0,-0.0,1.1267388
35564,-0.94609064,0.94609064,28.0,28.056442,0.05644226,0,0,-0.0,1.1267388
35565,-1.1128025,1.1128025,28.0,28.228678,0.22867775,0,0,-0.0,1.1266882
35566,-0.69076765,0.69076765,28.0,28.334229,0.33422852,0,0,-0.0,1.1266685
35567,-0.68494123,0.68494123,29.0,28.100336,-0.8996639,0,0,0.0,1.1266685
35568,-0.78558606,0.78558606,29.0,28.529655,-0.47034454,0,0,0.0,1.1266685
35569,-0.8760805,0.8760805,29.0,28.502533,-0.49746704,0,0,0.0,1.1266685
35570,-1.0075113,1.0075113,30.0,28.525623,-1.4743767,0,0,0.0,1.1266685
35571,-1.1011492,1.1011492,29.0,29.627163,0.62716293,0,0,-0.0,1.1266685
35572,-0.8699762,0.8699762,30.0,29.87345,-0.12655067,0,0,0.0,1.1266685
35573,-1.058462,1.058462,30.0,29.06965,-0.93034935,0,0,0.0,1.1266643
35574,-0.9154309,0.9154309,29.0,30.11615,1.1161499,0,0,-0.0,1.126619
35575,-0.8006409,0.8006409,29.0,29.747543,0.74754333,0,0,-0.0,1.126619
35576,-0.9651608,0.9651608,29.0,29.46115,0.46114922,0,0,-0.0,1.126619
35577,-0.8374561,0.8374561,29.0,29.8839,0.8838997,0,0,-0.0,1.126619
35578,-0.7853082,0.7853082,30.0,29.439154,-0.5608463,0,0,0.0,1.126619
35579,-0.96364504,0.96364504,29.0,28.965096,-0.03490448,0,0,0.0,1.126619
35580,-0.96051484,0.96051484,29.0,28.861435,-0.13856506,0,0,0.0,1.1264863
35581,-1.0163916,1.0163916,29.0,29.569984,0.56998444,0,0,-0.0,1.1264387
35582,-0.8930072,0.8930072,29.0,29.832342,0.83234215,0,0,-0.0,1.1264116
35583,-0.7713818,0.7713818,29.0,29.60925,0.6092491,0,0,-0.0,1.1264116
35584,-0.9993393,0.9993393,30.0,29.313248,-0.6867523,0,0,0.0,1.1264116
35585,-0.86355907,0.86355907,30.0,27.748001,-2.251999,0,0,0.0,1.1264116
