idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit
155,0.21171649,0.21171649,30.0,24.054104,-5.945896,0,0,-0.0
156,0.20796432,0.20796432,30.0,24.489834,-5.510166,0,0,-0.0
157,0.20786767,0.20786767,31.0,24.238077,-6.761923,0,0,-0.0
158,0.21018206,0.21018206,29.0,25.36916,-3.6308403,0,0,-0.0
159,0.21135704,0.21135704,28.0,26.136528,-1.863472,0,0,-0.0
160,0.21092723,0.21092723,27.0,26.098402,-0.901598,0,0,-0.0
161,0.20988522,0.20988522,27.0,26.048172,-0.951828,0,0,-0.0
162,0.20958535,0.20958535,26.0,25.567055,-0.43294525,0,0,-0.0
163,0.21247898,0.21247898,27.0,26.50811,-0.49188995,0,0,-0.0
164,0.20933293,0.20933293,27.0,27.118132,0.11813164,0,0,0.0
165,0.20897184,0.20897184,26.0,26.439724,0.43972397,0,0,0.0
166,0.21161442,0.21161442,27.0,26.42278,-0.5772209,0,0,-0.0
167,0.21147491,0.21147491,28.0,26.739893,-1.260107,0,0,-0.0
168,0.21073888,0.21073888,27.0,25.575527,-1.4244728,0,0,-0.0
169,0.20946966,0.20946966,27.0,26.295086,-0.7049141,0,0,-0.0
170,0.20984079,0.20984079,27.0,24.886831,-2.1131687,0,0,-0.0
171,0.21200673,0.21200673,26.0,24.627209,-1.3727913,0,0,-0.0
172,0.20833205,0.20833205,26.0,25.36795,-0.63204956,0,0,-0.0
173,0.20864655,0.20864655,25.0,24.622972,-0.3770275,0,0,-0.0
174,0.21149005,0.21149005,25.0,25.479303,0.47930336,0,0,0.0
175,0.21104069,0.21104069,25.0,26.178892,1.1788921,0,0,0.0
176,0.21021824,0.21021824,26.0,25.979181,-0.02081871,0,0,-0.0
177,0.20933466,0.20933466,27.0,26.181917,-0.8180828,0,0,-0.0
178,0.2084722,0.2084722,27.0,26.67635,-0.32365036,0,0,-0.0
179,0.2112721,0.2112721,27.0,26.596466,-0.40353394,0,0,-0.0
180,0.208263,0.208263,26.0,25.942266,-0.057733536,0,0,-0.0
181,0.20905347,0.20905347,25.0,26.154684,1.1546841,0,0,0.0
182,0.20902751,0.20902751,26.0,26.836163,0.83616257,0,0,0.0
183,0.20714955,0.20714955,27.0,27.401342,0.4013424,0,0,0.0
184,0.21035425,0.21035425,27.0,27.484526,0.48452568,0,0,0.0
185,0.21003406,0.21003406,27.0,26.977568,-0.022432327,0,0,-0.0
186,0.21042912,0.21042912,27.0,28.129032,1.1290321,0,0,0.0
187,0.20753972,0.20753972,27.0,27.429506,0.4295063,0,0,0.0
188,0.20721264,0.20721264,27.0,27.426888,0.4268875,0,0,0.0
189,0.20776586,0.20776586,28.0,27.170132,-0.8298683,0,0,-0.0
190,0.20794223,0.20794223,27.0,27.563124,0.5631237,0,0,0.0
191,0.20756303,0.20756303,27.0,27.386932,0.38693237,0,0,0.0
