date,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null,symbol
2020-01-13 15:30:00,8082.0,8088.94,8080.55,8085.64,71.694581,1578929699999.0,579653.21083176,795.0,34.422114,278292.02347127,0.0,BTCUSDT
2020-01-13 15:35:00,8084.23,8089.17,8084.23,8087.61,73.623628,1578929999999.0,595402.4720173,617.0,44.748101,361882.92542537,0.0,BTCUSDT
2020-01-13 15:40:00,8087.61,8089.97,8080.17,8084.46,65.73159,1578930299999.0,531471.61623831,626.0,22.69801,183505.64169439,0.0,BTCUSDT
2020-01-13 15:45:00,8085.12,8085.25,8074.52,8080.5,78.998803,1578930599999.0,638275.03447333,775.0,33.731973,272535.25914989,0.0,BTCUSDT
2020-01-13 15:50:00,8079.97,8083.46,8078.38,8082.86,66.64374,1578930899999.0,538516.84784408,838.0,33.552292,271134.7440455,0.0,BTCUSDT
2020-01-13 15:55:00,8082.86,8085.4,8080.71,8084.89,50.379873,1578931199999.0,407238.54828341,788.0,33.189303,268285.68088509,0.0,BTCUSDT
2020-01-13 16:00:00,8085.07,8089.4,8077.22,8078.23,84.875074,1578931499999.0,686221.59640088,779.0,39.918239,322750.58118592,0.0,BTCUSDT
2020-01-13 16:05:00,8077.74,8079.98,8071.12,8078.85,100.264191,1578931799999.0,809656.44165949,1039.0,44.227563,357198.15391998,0.0,BTCUSDT
2020-01-13 16:10:00,8079.4,8102.52,8078.5,8097.26,237.522963,1578932099999.0,1922387.03198995,1650.0,133.310495,1079045.02708686,0.0,BTCUSDT
2020-01-13 16:15:00,8098.03,8107.0,8090.92,8093.62,140.908271,1578932399999.0,1141330.66064763,1201.0,84.592545,685192.76967737,0.0,BTCUSDT
2020-01-13 16:20:00,8093.69,8098.9,8083.65,8098.0,77.221328,1578932699999.0,624904.1178824,930.0,40.572524,328361.28339192,0.0,BTCUSDT
2020-01-13 16:25:00,8097.75,8098.0,8085.27,8086.95,52.877403,1578932999999.0,427881.39976031,714.0,25.744285,208323.22448376,0.0,BTCUSDT
2020-01-13 16:30:00,8086.36,8096.06,8086.36,8095.33,53.814631,1578933299999.0,435417.54189937,700.0,26.384683,213486.00437972,0.0,BTCUSDT
2020-01-13 16:35:00,8096.27,8100.0,8092.86,8097.48,75.463607,1578933599999.0,611040.25336759,790.0,30.463525,246679.4995257,0.0,BTCUSDT
2020-01-13 16:40:00,8097.63,8099.28,8090.15,8093.35,65.900795,1578933899999.0,533457.47536687,850.0,30.811092,249424.28000575,0.0,BTCUSDT
2020-01-13 16:45:00,8093.49,8094.5,8090.17,8093.65,41.736785,1578934199999.0,337748.62519121,533.0,23.258312,188215.15882561,0.0,BTCUSDT
2020-01-13 16:50:00,8093.65,8103.54,8090.17,8099.17,74.681732,1578934499999.0,604729.90661794,889.0,42.560287,344647.31122311,0.0,BTCUSDT
2020-01-13 16:55:00,8099.52,8110.0,8097.66,8109.96,134.085053,1578934799999.0,1086924.6038701,1229.0,68.418767,554607.7839175,0.0,BTCUSDT
2020-01-13 17:00:00,8109.38,8118.58,8101.54,8109.96,245.722278,1578935099999.0,1992939.68074032,1732.0,164.543649,1334603.66272718,0.0,BTCUSDT
2020-01-13 17:05:00,8109.37,8118.0,8106.95,8115.07,75.122741,1578935399999.0,609460.04174675,978.0,42.733374,346691.12465712,0.0,BTCUSDT
2020-01-13 17:10:00,8115.52,8128.0,8113.48,8127.99,183.338064,1578935699999.0,1489032.85085724,2004.0,100.913037,819640.54528422,0.0,BTCUSDT
2020-01-13 17:15:00,8128.0,8129.45,8115.32,8116.43,144.797973,1578935999999.0,1176401.68261351,1497.0,59.097835,480161.40262849,0.0,BTCUSDT
2020-01-13 17:20:00,8116.43,8117.67,8096.01,8098.73,201.065816,1578936299999.0,1629847.23554812,1649.0,83.54951,677349.41896686,0.0,BTCUSDT
2020-01-13 17:25:00,8098.83,8115.72,8098.83,8114.0,93.917009,1578936599999.0,761268.60006198,818.0,65.119026,527816.74031391,0.0,BTCUSDT
2020-01-13 17:30:00,8114.71,8119.1,8105.22,8108.32,85.433452,1578936899999.0,693024.72454084,1052.0,33.610592,272635.62916327,0.0,BTCUSDT
2020-01-13 17:35:00,8108.32,8114.0,8101.18,8105.89,93.350716,1578937199999.0,756876.69478994,911.0,44.725203,362612.73694944,0.0,BTCUSDT
2020-01-13 17:40:00,8106.29,8110.24,8098.0,8098.82,100.856893,1578937499999.0,817301.56665059,893.0,47.877688,387967.76066288,0.0,BTCUSDT
2020-01-13 17:45:00,8098.83,8103.0,8091.0,8091.0,81.629312,1578937799999.0,660845.74897271,992.0,38.580056,312331.39376008,0.0,BTCUSDT
2020-01-13 17:50:00,8091.01,8100.76,8090.5,8093.44,92.352717,1578938099999.0,747508.76642815,917.0,34.628756,280323.53594836,0.0,BTCUSDT
2020-01-13 17:55:00,8093.44,8098.51,8090.93,8098.22,45.664784,1578938399999.0,369636.48853677,629.0,27.010848,218657.58029421,0.0,BTCUSDT
2020-01-13 18:00:00,8098.21,8098.22,8088.0,8091.18,122.893483,1578938699999.0,994404.21918433,1144.0,53.96042,436671.50776065,0.0,BTCUSDT
2020-01-13 18:05:00,8091.18,8100.0,8090.01,8099.99,65.883047,1578938999999.0,533379.13623157,655.0,34.970304,283098.25056734,0.0,BTCUSDT
2020-01-13 18:10:00,8099.99,8104.0,8099.13,8099.13,49.25407,1578939299999.0,399023.04800652,693.0,25.200767,204161.00412686,0.0,BTCUSDT
2020-01-13 18:15:00,8099.39,8106.77,8099.13,8103.27,48.677318,1578939599999.0,394396.61505108,753.0,24.337056,197195.47174298,0.0,BTCUSDT
2020-01-13 18:20:00,8103.29,8105.0,8097.19,8098.31,38.487626,1578939899999.0,311803.4442055,602.0,18.304827,148300.66651987,0.0,BTCUSDT
2020-01-13 18:25:00,8098.31,8098.31,8090.0,8095.36,65.450946,1578940199999.0,529786.77968542,676.0,27.562408,223091.09986549,0.0,BTCUSDT
2020-01-13 18:30:00,8095.74,8097.51,8090.23,8090.79,47.688946,1578940499999.0,386034.00999251,603.0,20.454753,165585.88449091,0.0,BTCUSDT
